stock,variable,year,mean,sd,lower,upper,status
Callinectes bellicosus,b_div_bmsy,2021,0.416984138827179,0.307563707946633,0.253889009049856,0.666883183366539,Overfished
Carcharhinus falciformis,b_div_bmsy,2021,1.18396049000161,0.613003192410304,0.450891399457586,3.23062615562919,Fully fished
Carcharhinus leucas,b_div_bmsy,2021,0.260290937353275,0.329179216686713,0.155607601636683,0.442826607634739,Overfished
Centropomus robalito,b_div_bmsy,2021,1.11588040641872,0.222408767845134,0.782860447321345,1.58931824747824,Fully fished
Gerreidae,b_div_bmsy,2021,0.229960789477401,0.337430829041604,0.133825686641206,0.384732395845174,Overfished
Gerreidae2,b_div_bmsy,2021,2.06630735139815,0.205781271034693,1.46109385224953,2.83676389300702,Underfished
Hoplopagrus guntheri,b_div_bmsy,2021,0.603813405323619,0.241286487513957,0.411130895405449,0.864262605322694,Overfished
Lutjanus guttatus,b_div_bmsy,2021,0.480028479288507,0.350148811701436,0.264559037534927,0.825981632263341,Overfished
Megapitaria squalida,b_div_bmsy,2021,0.441092441251524,0.174901406165282,0.333311026167388,0.574596271909138,Overfished
Panulirus interruptus,b_div_bmsy,2021,0.562278918768908,0.207829453304433,0.39768174891868,0.774154808724745,Overfished
Paralabrax nebulifer,b_div_bmsy,2021,0.589702073050083,0.198966021445238,0.424222572771464,0.799189430379666,Overfished
Prionace glauca,b_div_bmsy,2021,0.55297793724409,0.280022837764512,0.349487817570071,0.861279239593829,Overfished
Scomberomorus sierra,b_div_bmsy,2021,1.91126728785201e-07,2.3130870553463e-05,1.91117067957184e-07,1.91132895387395e-07,Overfished
Scomberomorus sierra2,b_div_bmsy,2021,1.96991558420188,0.205535204556982,1.39803749879835,2.69844229008085,Underfished
Sphyrna lewini,b_div_bmsy,2021,1.68977564964679,0.460663788029837,0.802697315512247,3.52867959075283,Underfished
Squatina californica,b_div_bmsy,2021,0.2982813016461,0.334398232261756,0.172973052741969,0.493017821049874,Overfished
